,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
326,326,gradle.csv,BATCHSTOP4,16,5,14.953271028037385,8.0,1926
327,327,gradle.csv,BATCHSTOP4,16,6,12.201453790238835,8.0,1926
328,328,gradle.csv,BATCHSTOP4,16,7,14.018691588785046,8.0,1926
329,329,gradle.csv,BATCHSTOP4,16,8,13.655244029075805,7.0,1926
330,330,gradle.csv,BATCHSTOP4,16,9,12.77258566978193,8.0,1926
331,331,gradle.csv,BATCHSTOP4,16,10,13.551401869158878,8.0,1926
332,332,gradle.csv,BATCHSTOP4,16,11,12.201453790238835,8.0,1926
333,333,gradle.csv,BATCHSTOP4,16,12,11.73416407061267,8.0,1926
334,334,gradle.csv,BATCHSTOP4,16,13,11.2668743509865,8.0,1926
335,335,gradle.csv,BATCHSTOP4,16,14,12.305295950155765,8.0,1926
336,336,gradle.csv,BATCHSTOP4,16,15,13.655244029075805,8.0,1926
337,337,gradle.csv,BATCHSTOP4,16,16,12.357217030114226,8.0,1926
338,338,gradle.csv,BATCHSTOP4,16,17,11.42263759086189,8.0,1926
339,339,gradle.csv,BATCHSTOP4,16,18,11.682242990654206,8.0,1926
340,340,gradle.csv,BATCHSTOP4,16,19,12.461059190031152,8.0,1926
341,341,gradle.csv,BATCHSTOP4,16,20,11.838006230529595,8.0,1926
342,342,heroku.csv,BATCH4,4,2,48.08888888888889,2.0,1125
343,343,heroku.csv,BATCH4,4,3,43.55555555555556,2.0,1125
344,344,heroku.csv,BATCH4,4,4,39.2,2.0,1125
345,345,heroku.csv,BATCH4,4,5,38.4,2.0,1125
346,346,heroku.csv,BATCH4,4,6,37.77777777777778,2.0,1125
347,347,heroku.csv,BATCH4,4,7,34.666666666666664,2.0,1125
348,348,heroku.csv,BATCH4,4,8,33.68888888888889,2.0,1125
349,349,heroku.csv,BATCH4,4,9,30.666666666666668,2.0,1125
350,350,heroku.csv,BATCH4,4,10,30.4,2.0,1125
351,351,heroku.csv,BATCH4,4,11,30.84444444444445,2.0,1125
352,352,heroku.csv,BATCH4,4,12,31.288888888888888,2.0,1125
353,353,heroku.csv,BATCH4,4,13,30.311111111111103,2.0,1125
354,354,heroku.csv,BATCH4,4,14,31.64444444444445,2.0,1125
355,355,heroku.csv,BATCH4,4,15,28.35555555555556,2.0,1125
356,356,heroku.csv,BATCH4,4,16,28.71111111111112,2.0,1125
